[2024-04-18 22:21:40,573] INFO _log() L224   * Restarting with watchdog (windowsapi) - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:40,605] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:40] "DELETE /estado?id=54 HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:43,997] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:43] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:50,431] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:50] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:35:13,736] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:35:13] "OPTIONS /estado HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:35:13,792] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:35:13] "POST /estado HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:35:17,934] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:35:17] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:35:26,307] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:35:26] "GET /estado?id=33 HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:12,286] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:12] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:19,066] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:19] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:20,599] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:20] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:22,000] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:22] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:22,656] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:22] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
